"model","train_type","model_layer","model_layer_depth","score","model_string"
"skresnext50_32x4d","random","AdaptiveAvgPool2d-1",0.996062992125984,0.287474369471679,"skresnext50_32x4d_random"
"vgg11","random","MaxPool2d-5",0.807692307692308,0.286821438820274,"vgg11_random"
"keypoints2d","taskonomy","ReLU-50",0.993827160493827,0.285940852136969,"keypoints2d_taskonomy"
"eca_nfnet_l1","random","SwishMe-2",0.0233918128654971,0.285238226207853,"eca_nfnet_l1_random"
"resnext50_32x4d","random","AdaptiveAvgPool2d-1",0.993670886075949,0.282751916472563,"resnext50_32x4d_random"
"pit_ti_224","random","Linear-11",0.220338983050847,0.281450611167344,"pit_ti_224_random"
"mixer_l16_224","random","GELU-42",0.860655737704918,0.280857896098952,"mixer_l16_224_random"
"denoising","taskonomy","MaxPool2d-2",0.203703703703704,0.279542378397156,"denoising_taskonomy"
"seresnext50_32x4d","random","AdaptiveAvgPool2d-1",0.994871794871795,0.278586629871219,"seresnext50_32x4d_random"
"vit_base_patch32_224","random","Linear-48",0.964912280701754,0.278244118270627,"vit_base_patch32_224_random"
"vgg16","random","Linear-1",0.888888888888889,0.277753354977722,"vgg16_random"
"vanishing_point","taskonomy","ReLU-4",0.0925925925925926,0.276979442721856,"vanishing_point_taskonomy"
"vgg19","random","Conv2d-6",0.30952380952381,0.274424422398658,"vgg19_random"
"cspdarknet53","random","Conv2d-7",0.117647058823529,0.274158963077248,"cspdarknet53_random"
"gernet_s","random","Conv2d-7",0.166666666666667,0.273707766396575,"gernet_s_random"
"resnet18","random","AdaptiveAvgPool2d-1",0.983333333333333,0.271842704264319,"resnet18_random"
"jigsaw","taskonomy","MaxPool2d-1",0.0246913580246914,0.271608208946033,"jigsaw_taskonomy"
"resnet34","random","ReLU-2",0.0648148148148148,0.267614348661779,"resnet34_random"
"wide_resnet50_2","random","ReLU-2",0.0443037974683544,0.266745490217132,"wide_resnet50_2_random"
"resnet152","random","Conv2d-6",0.0344827586206897,0.265967035962539,"resnet152_random"
"coat_lite_mini","random","Linear-33",1,0.265432611134778,"coat_lite_mini_random"
"inception_v3","random","BasicConv2d-40",0.424242424242424,0.263718485412161,"inception_v3_random"
"random_weights","taskonomy","Conv2d-4",0.0679012345679012,0.263123255587995,"random_weights_taskonomy"
"dla34","random","MaxPool2d-6",0.831858407079646,0.263021335914999,"dla34_random"
"wide_resnet101_2","random","BatchNorm2d-6",0.0546623794212219,0.262620293507044,"wide_resnet101_2_random"
"vgg16_bn","random","ReLU-14",0.938775510204082,0.259896748375599,"vgg16_bn_random"
"squeezenet1_0","random","MaxPool2d-1",0.046875,0.259247122203501,"squeezenet1_0_random"
"shufflenet_v2_x0_5","random","InvertedResidual-1",0.107784431137725,0.257499858998828,"shufflenet_v2_x0_5_random"
"resnet50","random","ReLU-4",0.0949367088607595,0.256758807368602,"resnet50_random"
"resnet101","random","ReLU-2",0.022508038585209,0.255798962166197,"resnet101_random"
"shufflenet_v2_x1_0","random","ReLU-3",0.0718562874251497,0.255198114120406,"shufflenet_v2_x1_0_random"
"mobilenet_v2","random","BatchNorm2d-2",0.033112582781457,0.254729442346183,"mobilenet_v2_random"
"regnetx_064","random","Conv2d-13",0.245098039215686,0.254288076699305,"regnetx_064_random"
"mnasnet1_0","random","ReLU-18",0.490066225165563,0.25363035030292,"mnasnet1_0_random"
"ghostnet_100","random","ReLU-1",0.0106761565836299,0.25275722329955,"ghostnet_100_random"
"squeezenet1_1","random","MaxPool2d-1",0.046875,0.24822181515039,"squeezenet1_1_random"
"repvgg_b3g4","random","Identity-41",0.319444444444444,0.238113947186421,"repvgg_b3g4_random"
"twins_pcpvt_base","random","Linear-133",0.951149425287356,0.237989721683504,"twins_pcpvt_base_random"
"edge_texture","taskonomy","ReLU-5",0.111111111111111,0.229377855636363,"edge_texture_taskonomy"
"mnasnet0_5","random","ReLU-1",0.0198675496688742,0.222175941213907,"mnasnet0_5_random"
